Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count
responsibility	1806	1327	1785	1317	35.41	3.257	15.82	3.1232	6.0
identification	409	301	369	269	8.02	2.6128	3.59	2.48	6.0
responsibilities	338	299	332	296	6.63	2.5302	3.56	2.4771	6.0
revolutionary	224	148	187	123	4.39	2.3522	1.76	2.1732	6.0
underestimated	128	118	128	118	2.51	2.1106	1.41	2.0755	6.0
simultaneously	119	97	112	90	2.33	2.0792	1.16	1.9912	6.0
Theoretically	115	93	57	54	2.25	2.0645	1.11	1.9731	6.0
Mediterranean	121	82	0	0	2.37	2.0864	0.98	1.9191	6.0
humanitarian	95	75	85	71	1.86	1.9823	0.89	1.8808	6.0
electromagnetic	96	70	79	61	1.88	1.9868	0.83	1.8513	6.0
rehabilitation	82	69	71	63	1.61	1.9191	0.82	1.8451	6.0
heterosexual	88	66	83	62	1.73	1.9494	0.79	1.8261	6.0
individually	65	61	63	59	1.27	1.8195	0.73	1.7924	6.0
encyclopedia	81	60	55	39	1.59	1.9138	0.72	1.7853	6.0
extracurricular	74	60	73	59	1.45	1.8751	0.72	1.7853	6.0
superiority	67	56	65	55	1.31	1.8325	0.67	1.7559	6.0
extraterrestrial	102	55	92	52	2.0	2.0128	0.66	1.7482	6.0
extraordinarily	58	54	53	50	1.14	1.7709	0.64	1.7404	6.0
insubordination	64	54	55	49	1.25	1.8129	0.64	1.7404	6.0
scientifically	54	51	49	47	1.06	1.7404	0.61	1.716	6.0
evolutionary	60	47	56	44	1.18	1.7853	0.56	1.6812	6.0
beneficiary	69	42	68	41	1.35	1.8451	0.5	1.6335	6.0
incapacitated	48	41	45	38	0.94	1.6902	0.49	1.6232	6.0
reconciliation	52	41	47	39	1.02	1.7243	0.49	1.6232	6.0
unimaginable	47	41	45	39	0.92	1.6812	0.49	1.6232	6.0
valedictorian	63	40	55	35	1.24	1.8062	0.48	1.6128	6.0
incomprehensible	42	39	41	38	0.82	1.6335	0.46	1.6021	6.0
unnecessarily	41	38	37	35	0.8	1.6232	0.45	1.5911	6.0
vulnerability	41	38	41	38	0.8	1.6232	0.45	1.5911	6.0
institutionalized	42	37	40	37	0.82	1.6335	0.44	1.5798	6.0
impossibility	35	35	35	35	0.69	1.5563	0.42	1.5563	6.0
respectability	38	35	38	35	0.75	1.5911	0.42	1.5563	6.0
intellectually	40	34	40	34	0.78	1.6128	0.41	1.5441	6.0
deteriorating	33	33	33	33	0.65	1.5315	0.39	1.5315	6.0
inferiority	40	33	40	33	0.78	1.6128	0.39	1.5315	6.0
autobiography	41	32	35	27	0.8	1.6232	0.38	1.5185	6.0
professionalism	34	32	33	31	0.67	1.5441	0.38	1.5185	6.0
spirituality	46	31	42	28	0.9	1.6721	0.37	1.5051	6.0
